ID;PID;Game;Study;Game_group;Condition;Condition_params;Resolution;Framerate;Bitrate;VQ;VF;VU;VD;AC;Age;Gender;Expertise;Monitor
164;3;Game3;1;Game1_Game2_Game3;20;480_60_2000;480;60;2000;3,4;3,8;2,5;5,1;0;22;Female;1;smallPhone
165;3;Game2;1;Game1_Game2_Game3;21;480_60_2000;480;60;2000;4,1;5;3;3,9;1;22;Female;1;smallPhone
166;3;Game2;1;Game1_Game2_Game3;22;480_60_6000;480;60;6000;5;4,5;4,4;4,4;1;22;Female;1;smallPhone
167;3;Game1;1;Game1_Game2_Game3;23;480_60_6000;480;60;6000;3,9;4,4;3;4,6;0;22;Female;1;smallPhone
168;3;Game3;1;Game1_Game2_Game3;24;480_60_6000;480;60;6000;4;4;2,7;4,4;0;22;Female;1;smallPhone
169;3;Game1;1;Game1_Game2_Game3;25;720_30_1000;720;30;1000;2;2;2;6;0;22;Female;1;smallPhone
170;3;Game2;1;Game1_Game2_Game3;26;720_30_1000;720;30;1000;2,4;3;2;6;0;22;Female;1;smallPhone
171;3;Game3;1;Game1_Game2_Game3;27;720_30_1000;720;30;1000;3,6;3,2;3,4;5;0;22;Female;1;smallPhone
172;3;Game3;1;Game1_Game2_Game3;28;720_30_2000;720;30;2000;3,6;3,8;3,1;4,7;0;22;Female;1;smallPhone
173;3;Game2;1;Game1_Game2_Game3;29;720_30_2000;720;30;2000;4,4;3,6;3,7;4,7;1;22;Female;1;smallPhone
174;3;Game1;1;Game1_Game2_Game3;30;720_30_2000;720;30;2000;3,4;3,2;3;3,1;0;22;Female;1;smallPhone
175;3;Game1;1;Game1_Game2_Game3;31;720_30_4000;720;30;4000;4,2;4,4;3,4;4,9;1;22;Female;1;smallPhone
176;3;Game2;1;Game1_Game2_Game3;32;720_30_4000;720;30;4000;4,7;5;5;5;1;22;Female;1;smallPhone
177;3;Game3;1;Game1_Game2_Game3;33;720_30_4000;720;30;4000;4,9;4,5;4,5;5;1;22;Female;1;smallPhone
178;3;Game3;1;Game1_Game2_Game3;34;720_30_50000;720;30;50000;5,4;6;6;6;1;22;Female;1;smallPhone
179;3;Game2;1;Game1_Game2_Game3;35;720_30_50000;720;30;50000;5,1;5;5;3;1;22;Female;1;smallPhone
180;3;Game1;1;Game1_Game2_Game3;36;720_30_50000;720;30;50000;5;3,6;5;2;1;22;Female;1;smallPhone
181;3;Game3;1;Game1_Game2_Game3;37;720_60_1000;720;60;1000;3;2,6;2,4;6;0;22;Female;1;smallPhone
182;3;Game1;1;Game1_Game2_Game3;38;720_60_1000;720;60;1000;3;2,5;3,5;4,7;0;22;Female;1;smallPhone
183;3;Game2;1;Game1_Game2_Game3;39;720_60_1000;720;60;1000;3,1;3;2,9;4,2;0;22;Female;1;smallPhone
184;3;Game3;1;Game1_Game2_Game3;40;720_60_2000;720;60;2000;3,5;3,5;3,1;2,4;0;22;Female;1;smallPhone
185;3;Game2;1;Game1_Game2_Game3;41;720_60_2000;720;60;2000;3,3;3,8;3;4,8;0;22;Female;1;smallPhone
186;3;Game1;1;Game1_Game2_Game3;42;720_60_2000;720;60;2000;3,6;3,4;3,8;3,6;0;22;Female;1;smallPhone
187;3;Game2;1;Game1_Game2_Game3;43;720_60_4000;720;60;4000;4,5;4,6;3,5;5;1;22;Female;1;smallPhone
